-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Motif	0	-0.102119133811981	0.0557389019147529	0	-0.144665100115439	0.139670610651316	0	-0.00511519027373583	0	0.0484590793959905	0.0296344032031915	0	0.153946752271002	0.0521742658367368	0.0972485627681772	0.0164623737306789	0.0254516202434486	0.0268565846501451	0.084674688930195	0.00947564859886218	0.0797987879323958	0.0460986273248402	0.0519993078653001	0.142168697895458	0.0795422300611782	0	0	0	0	0	0	0.00432807630221328	0	0	0	0	0	0	0	-0.0313174417751448	0	-0.0973855985503619	-0.232159018486051	0	0	0	0	-0.0841118191486464	0	0	0
MGW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0500606530866735	-0.0396623388776432	-0.0530676026582068	-0.0635039575595545	-0.0471175030422715	-0.00457780909468891	-0.150170277448248	-0.233332918798088	-0.0342200442555571	0	0	0	0	-0.109025937224875	-0.131799024834758	-0.054777230666031	-0.049683359335569	-0.0706523153488431	-0.108758190344234	-0.0917547525060743	0	-0.0328487742772961	-0.0413537756309033	0	0	0	0	0	0	0	0	0	0	0	0	0
HelT	0	0	0	0	0	-0.014720176556872	0	0	0	0	0	0	0	0	0	0.00909014071641522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167619444627589	0	0.0651024694993515	0	0.0374659244175203	0	0.0178457500178544	0	0	0	0	0	0	0	0	0	0	0	0	0
ProT	0	0	0	0	0.0606571588568528	0	0	0	0	0.187833506934977	0.0348016297541065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00878299767371315	0	0	0	0	0	0	0	0	0.113531298188892	0	0	0	0	0.102788908369574	0	0	0
Roll	0	0	-0.224412972579597	0.120749064043757	0	-0.142333093830125	0	0.00484758259913195	0	-0.0240756217502109	0	0	-0.348399262574581	0	-0.014619236600547	0	-0.00521058566506412	0	-0.0571470575099604	0	-0.00310751502923076	0	0	0	0	0	-0.0635680641183749	0	-0.0294419564530262	0	0	0	-0.00674038542054286	0	-0.0191523146897529	0	0	0	-0.0215353541858905	0	-0.313066082808639	0	0	-0.0528468241946875	0	0	0	-0.0310660578070928	0	0.0568242629119873	0
EP	0	0	0	0	0.192156173260394	0	0	0	0	0.0329653388442239	0.0734810627738202	0	0	-0.0196737999501222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0996522370512196	0.243105332273404	0	0	0	0	0.151895780227312	0	0	0
Stretch	0	0	0	0	0	0	0	0	0	0	0	0	0	0.200001082454001	0	0.0792333775048582	0.00292554760125482	0	0.0644520884268935	0	0.129583940846242	0.0805389042224699	0.156468790153061	0.100445372667571	0.00727203122602653	0.0353540454719852	0	0	0.00540788919124044	0.179429822429361	0.095611211425934	0.202239694067609	0.0285629586781317	0.0378002059113838	0.0498662931184663	0	0	0	0.0799672528034515	0.111260868994677	0	0	0	0	0	0	0	0	0	0	0
Tilt	0	0	0.007324941140929	0	-0.00152071999129053	0.0697605858496896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Buckle	0	0	0	0	0	0	0	0	0	0	0	-0.201978478330257	0	-0.137965723383539	0	-0.0896224357623737	0	-0.0285053290557315	0	-0.139445276555541	0	0	-0.0685764829476324	-0.0492109710245486	0	0	0	0	0.0614626886556645	0.0455592852148922	0.0195178682108425	0	0.0426620088591871	0	0	0	0.0318543411808281	0	0.0746088785572597	0	0.158107938704295	0.0257457225589986	0	0	0	0	0	0	0	0	0
Shear	0	0	0	0	0	-0.00990602445800035	0	0	0	0	0	0	0.0115645565779359	0	0	0	0	0	0	-0.00247146685861728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
